,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range
0,0,0.9111111111111111,1,0,2,0.04788557213930348,0.05543237250554324,1,0,4,0,0,0,0,5,0,5
1,0,0.7777777777777778,3,4,4,0.09888059701492537,0.048780487804878044,3,0,6,6,3,0,9,7,0,3
2,1,0.4444444444444445,2,3,4,0.03544776119402985,0.04212860310421286,1,2,5,0,0,3,7,5,4,3
3,1,0.2555555555555556,5,6,6,0.022388059701492533,0.026607538802660754,2,2,5,0,1,3,9,8,3,1
4,1,0.23333333333333336,1,2,3,0.009328358208955223,0.006651884700665186,0,2,4,0,0,3,6,3,4,1
5,0,0.30000000000000004,3,5,5,0.05286069651741293,0.03104212860310421,3,1,5,6,3,0,9,6,5,3
6,1,0.1777777777777778,1,1,6,0.03482587064676616,0.011086474501108647,1,2,1,1,0,3,1,1,3,5
7,0,0.4555555555555556,4,5,6,0.09950248756218905,0.044345898004434586,0,3,5,6,0,2,8,6,2,5
8,1,0.2444444444444445,1,2,3,0.08955223880597014,0.03547671840354767,1,1,3,6,0,0,6,3,9,3
9,1,0.1333333333333334,2,1,5,0.011815920398009952,0.006651884700665186,1,2,4,6,0,0,2,4,5,3
10,0,0.11111111111111116,0,2,3,0.01243781094527363,0.004434589800443461,2,0,5,6,0,0,6,0,0,6
11,0,0.4555555555555556,5,4,5,0.18656716417910446,0.03991130820399113,0,3,3,2,0,1,8,9,2,6
12,1,0.7777777777777778,3,4,5,0.13121890547263682,0.06651884700665188,1,1,5,6,3,3,8,6,2,2
13,0,0.4555555555555556,1,6,6,0.09639303482587064,0.04212860310421286,1,1,6,6,0,0,9,1,3,5
14,1,0.43333333333333335,3,4,4,0.056592039800995024,0.03991130820399113,1,1,3,6,0,3,9,7,1,3
15,0,0.6444444444444445,4,6,6,0.046641791044776115,0.05543237250554324,2,2,4,0,3,3,9,6,2,2
16,0,0.2444444444444445,1,3,6,0.010572139303482588,0.0022172949002217286,1,4,2,6,0,3,5,1,4,8
17,0,0.32222222222222224,0,1,4,0.0012437810945273645,0.004434589800443461,1,1,3,0,0,0,2,0,5,5
18,1,0.12222222222222229,2,5,6,0.03233830845771144,0.008869179600886914,1,2,4,1,0,3,8,3,3,3
19,1,0.7333333333333334,4,3,4,0.1281094527363184,0.05543237250554324,2,1,5,6,3,3,7,9,1,4
20,2,0.2444444444444445,1,3,5,0.011194029850746266,0.006651884700665186,2,1,4,6,3,0,6,2,5,4
21,1,0.4444444444444445,4,6,6,0.06592039800995025,0.0376940133037694,2,2,1,6,3,3,9,6,3,2
22,0,0.6555555555555556,4,2,5,0.05037313432835821,0.044345898004434586,2,2,7,0,3,0,4,8,5,4
23,1,0.03333333333333338,1,4,6,0.02487562189054726,0.004434589800443461,3,0,3,1,3,0,6,1,0,3
24,0,0.30000000000000004,4,6,6,0.13246268656716417,0.03325942350332594,3,0,5,1,1,0,9,6,0,2
25,1,0.4222222222222223,2,2,3,0.10385572139303482,0.03991130820399113,0,2,4,6,0,3,6,6,3,2
26,0,0.3666666666666667,2,3,3,0.04539800995024876,0.006651884700665186,0,2,1,3,0,3,9,6,3,2
27,1,0.11111111111111116,4,3,4,0.09639303482587064,0.03325942350332594,1,2,6,1,0,3,7,9,2,3
28,0,0.0,0,1,2,0.018034825870646767,0.004434589800443461,1,1,1,1,0,0,5,0,9,5
29,1,0.03333333333333338,3,5,5,0.03793532338308457,0.015521064301552106,2,1,3,6,3,0,9,6,3,2
30,1,0.7555555555555555,4,4,5,0.14552238805970147,0.06430155210643015,3,2,5,6,3,3,8,8,4,3
31,0,0.07777777777777783,1,3,5,0.01990049751243781,0.004434589800443461,2,2,5,1,3,0,6,2,5,4
32,0,0.5555555555555556,3,5,6,0.1548507462686567,0.05986696230598669,3,1,4,6,3,0,8,5,3,4
33,1,0.23333333333333336,1,3,5,0.031716417910447756,0.006651884700665186,2,1,2,1,3,0,6,2,9,4
34,0,0.12222222222222229,3,2,4,0.03855721393034826,0.006651884700665186,2,2,3,2,0,3,5,7,4,5
35,0,0.20000000000000004,2,2,4,0.0945273631840796,0.022172949002217293,2,1,6,2,3,0,5,5,3,4
36,0,0.0888888888888889,1,4,4,0.03482587064676616,0.024390243902439025,3,0,5,6,3,0,9,2,0,4
37,0,0.2444444444444445,3,1,3,0.054104477611940295,0.026607538802660754,0,2,4,6,0,3,3,9,2,4
38,0,0.2888888888888889,3,3,5,0.09328358208955223,0.024390243902439025,1,2,2,1,0,3,6,6,4,2
39,1,0.7333333333333334,4,4,4,0.1990049751243781,0.057649667405764965,1,3,3,1,0,3,9,9,3,3
40,0,0.7,5,5,5,0.13992537313432835,0.06208425720620842,3,2,6,6,3,3,9,9,3,3
41,1,0.20000000000000004,0,2,4,0.010572139303482588,0.004434589800443461,1,2,3,6,0,0,5,0,6,5
42,1,0.22222222222222227,1,2,4,0.023631840796019897,0.006651884700665186,0,3,1,1,0,3,5,2,6,5
43,1,0.05555555555555558,4,4,4,0.09328358208955223,0.017738359201773836,1,2,3,2,0,3,9,9,2,3
44,1,0.2888888888888889,3,3,3,0.07524875621890548,0.028824833702882482,1,2,5,6,0,3,9,9,3,3
45,1,0.2888888888888889,2,2,3,0.07338308457711443,0.03547671840354767,0,2,2,6,0,3,6,6,4,3
46,0,0.18888888888888894,1,3,5,0.013681592039800995,0.006651884700665186,1,2,6,6,0,0,6,2,5,2
47,1,0.6333333333333333,5,5,5,0.11007462686567164,0.048780487804878044,2,2,5,6,3,3,9,9,3,2
48,1,0.2444444444444445,2,3,3,0.08395522388059701,0.026607538802660754,1,1,6,1,0,0,9,6,3,3
49,1,0.5111111111111111,4,5,5,0.12437810945273632,0.03547671840354767,1,2,5,1,0,3,9,8,2,3
50,1,0.23333333333333336,0,4,5,0.014303482587064674,0.004434589800443461,2,1,6,1,0,0,8,0,9,5
51,1,0.3777777777777778,1,2,3,0.06840796019900497,0.028824833702882482,1,1,6,6,0,0,6,3,3,8
52,1,0.7555555555555555,2,0,3,0.016791044776119403,0.05986696230598669,2,1,4,0,0,0,0,6,5,6
53,0,0.4666666666666667,5,4,6,0.10385572139303482,0.03991130820399113,2,2,4,6,3,3,6,8,2,3
54,0,0.9666666666666667,5,4,5,0.18843283582089554,0.06651884700665188,3,1,4,1,1,0,8,9,5,2
55,0,0.2777777777777778,1,3,5,0.01243781094527363,0.004434589800443461,1,3,4,6,0,3,6,2,6,2
56,0,0.9111111111111111,2,5,5,0.041666666666666664,0.07317073170731707,0,3,5,0,0,1,9,4,3,2
57,0,0.5222222222222223,1,3,3,0.09639303482587064,0.04212860310421286,1,1,5,6,0,0,9,3,3,5
58,0,0.6111111111111112,4,4,4,0.18034825870646765,0.04212860310421286,1,2,4,2,0,3,9,9,2,3
59,0,0.06666666666666671,0,3,5,0.010572139303482588,0.006651884700665186,0,2,3,6,0,3,6,0,3,3
60,1,0.12222222222222229,0,2,2,0.006840796019900494,0.004434589800443461,1,0,2,0,0,0,9,0,0,5
61,1,0.6555555555555556,2,4,6,0.02798507462686567,0.048780487804878044,1,2,4,0,0,3,6,3,3,2
62,1,0.12222222222222229,3,4,6,0.046641791044776115,0.006651884700665186,2,2,4,3,0,3,6,5,2,5
63,1,0.05555555555555558,1,4,5,0.018034825870646767,0.004434589800443461,1,2,1,1,0,0,8,2,5,5
64,1,0.2555555555555556,0,3,4,0.004975124378109451,0.0022172949002217286,1,0,3,6,0,0,7,0,0,2
65,0,0.6777777777777778,3,5,5,0.06778606965174129,0.05986696230598669,2,2,6,0,3,3,9,6,4,3
66,0,0.8555555555555555,4,4,5,0.18532338308457713,0.06430155210643015,0,2,6,1,0,1,8,8,1,3
67,1,0.4,2,2,3,0.0845771144278607,0.04212860310421286,0,2,3,6,0,3,6,6,4,3
68,1,0.3111111111111111,3,6,6,0.07835820895522388,0.026607538802660754,1,0,6,1,3,0,9,5,0,1
69,0,0.2555555555555556,2,5,6,0.03544776119402985,0.006651884700665186,2,1,4,2,3,3,8,3,1,2
70,0,0.30000000000000004,3,5,5,0.11442786069651742,0.03991130820399113,2,1,3,1,3,0,9,6,3,3
71,1,0.4444444444444445,4,4,4,0.08706467661691542,0.03325942350332594,1,3,5,6,0,3,9,9,3,3
72,0,0.6333333333333333,4,3,4,0.15422885572139303,0.05986696230598669,0,3,7,6,0,1,7,9,2,3
73,1,0.23333333333333336,1,4,5,0.014303482587064674,0.004434589800443461,1,2,6,6,0,0,8,2,5,5
74,0,0.7,4,5,5,0.18470149253731344,0.05321507760532151,1,2,4,1,0,3,9,8,2,3
75,0,0.7555555555555555,1,1,4,0.04975124378109452,0.057649667405764965,1,1,7,0,0,0,2,2,9,2
76,0,0.6,1,0,5,0.021144278606965175,0.0376940133037694,1,2,5,0,0,0,0,2,5,8
77,1,0.3777777777777778,1,2,3,0.027363184079601987,0.006651884700665186,2,0,5,1,3,0,6,3,0,4
78,1,0.2666666666666667,0,3,5,0.006840796019900494,0.0022172949002217286,2,2,3,6,0,0,6,0,6,5
79,1,0.21111111111111114,5,5,6,0.12437810945273632,0.024390243902439025,2,2,5,2,3,3,8,8,2,3
80,0,0.4777777777777778,3,3,5,0.1256218905472637,0.03991130820399113,1,2,0,1,0,3,6,6,2,3
81,0,0.3111111111111111,3,4,5,0.1013681592039801,0.03547671840354767,2,1,5,1,3,0,8,6,3,3
82,0,0.4666666666666667,6,5,6,0.125,0.03547671840354767,3,2,6,1,1,3,8,9,3,2
83,1,0.3666666666666667,4,5,5,0.13930348258706465,0.0376940133037694,1,2,6,1,0,3,9,8,2,3
84,1,0.5333333333333333,5,3,5,0.07276119402985075,0.04212860310421286,2,1,4,6,3,3,6,9,2,2
