,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range
0,F,112000,1,0,2,77,25,1,0,50-59,0-4,0-4,0-4,0-9,50-59,0-9,50-59
1,F,100000,3,4,4,159,22,3,0,70-79,5-9,5-9,0-4,90-100,70-79,0-9,30-39
2,M,70000,2,3,4,57,19,1,2,60-69,0-4,0-4,5-9,70-79,50-59,40-49,30-39
3,M,53000,5,6,6,36,12,2,2,60-69,0-4,10-14,5-9,90-100,80-89,30-39,10-19
4,M,51000,1,2,3,15,3,0,2,50-59,0-4,0-4,5-9,60-69,30-39,40-49,10-19
5,F,57000,3,5,5,85,14,3,1,60-69,5-9,5-9,0-4,90-100,60-69,50-59,30-39
6,M,46000,1,1,6,56,5,1,2,20-29,10-14,0-4,5-9,10-19,10-19,30-39,50-59
7,F,71000,4,5,6,160,20,0,3,60-69,5-9,0-4,15+,80-89,60-69,20-29,50-59
8,M,52000,1,2,3,144,16,1,1,40-49,5-9,0-4,0-4,60-69,30-39,90-100,30-39
9,M,42000,2,1,5,19,3,1,2,50-59,5-9,0-4,0-4,20-29,40-49,50-59,30-39
10,F,40000,0,2,3,20,2,2,0,60-69,5-9,0-4,0-4,60-69,0-9,0-9,60-69
11,F,71000,5,4,5,300,18,0,3,40-49,15-19,0-4,10-14,80-89,90-100,20-29,60-69
12,M,100000,3,4,5,211,30,1,1,60-69,5-9,5-9,5-9,80-89,60-69,20-29,20-29
13,F,71000,1,6,6,155,19,1,1,70-79,5-9,0-4,0-4,90-100,10-19,30-39,50-59
14,M,69000,3,4,4,91,18,1,1,40-49,5-9,0-4,5-9,90-100,70-79,10-19,30-39
15,F,88000,4,6,6,75,25,2,2,50-59,0-4,5-9,5-9,90-100,60-69,20-29,20-29
16,F,52000,1,3,6,17,1,1,4,30-39,5-9,0-4,5-9,50-59,10-19,40-49,90-100
17,F,59000,0,1,4,2,2,1,1,40-49,0-4,0-4,0-4,20-29,0-9,50-59,50-59
