,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range,labels
0,F,112000,1,0,2,77,25,1,0,50-59,0-4,0-4,0-4,0-9,50-59,0-9,50-59,-1
1,F,100000,3,4,4,159,22,3,0,70-79,5-9,5-9,0-4,90-100,70-79,0-9,30-39,2
2,M,70000,2,3,4,57,19,1,2,60-69,0-4,0-4,5-9,70-79,50-59,40-49,30-39,0
3,M,53000,5,6,6,36,12,2,2,60-69,0-4,10-14,5-9,90-100,80-89,30-39,10-19,0
4,M,51000,1,2,3,15,3,0,2,50-59,0-4,0-4,5-9,60-69,30-39,40-49,10-19,0
5,F,57000,3,5,5,85,14,3,1,60-69,5-9,5-9,0-4,90-100,60-69,50-59,30-39,2
6,M,46000,1,1,6,56,5,1,2,20-29,10-14,0-4,5-9,10-19,10-19,30-39,50-59,-1
7,F,71000,4,5,6,160,20,0,3,60-69,5-9,0-4,15+,80-89,60-69,20-29,50-59,2
8,M,52000,1,2,3,144,16,1,1,40-49,5-9,0-4,0-4,60-69,30-39,90-100,30-39,-1
9,M,42000,2,1,5,19,3,1,2,50-59,5-9,0-4,0-4,20-29,40-49,50-59,30-39,-1
10,F,40000,0,2,3,20,2,2,0,60-69,5-9,0-4,0-4,60-69,0-9,0-9,60-69,1
11,F,71000,5,4,5,300,18,0,3,40-49,15-19,0-4,10-14,80-89,90-100,20-29,60-69,0
12,M,100000,3,4,5,211,30,1,1,60-69,5-9,5-9,5-9,80-89,60-69,20-29,20-29,2
13,F,71000,1,6,6,155,19,1,1,70-79,5-9,0-4,0-4,90-100,10-19,30-39,50-59,2
14,M,69000,3,4,4,91,18,1,1,40-49,5-9,0-4,5-9,90-100,70-79,10-19,30-39,2
15,F,88000,4,6,6,75,25,2,2,50-59,0-4,5-9,5-9,90-100,60-69,20-29,20-29,0
16,F,52000,1,3,6,17,1,1,4,30-39,5-9,0-4,5-9,50-59,10-19,40-49,90-100,-1
17,F,59000,0,1,4,2,2,1,1,40-49,0-4,0-4,0-4,20-29,0-9,50-59,50-59,0
18,M,41000,2,5,6,52,4,1,2,50-59,10-14,0-4,5-9,80-89,30-39,30-39,30-39,0
19,M,96000,4,3,4,206,25,2,1,60-69,5-9,5-9,5-9,70-79,90-100,10-19,40-49,2
20,O,52000,1,3,5,18,3,2,1,50-59,5-9,5-9,0-4,60-69,20-29,50-59,40-49,2
21,M,70000,4,6,6,106,17,2,2,20-29,5-9,5-9,5-9,90-100,60-69,30-39,20-29,2
22,F,89000,4,2,5,81,20,2,2,80+,0-4,5-9,0-4,40-49,80-89,50-59,40-49,-1
23,M,33000,1,4,6,40,2,3,0,40-49,10-14,5-9,0-4,60-69,10-19,0-9,30-39,0
24,F,57000,4,6,6,213,15,3,0,60-69,10-14,10-14,0-4,90-100,60-69,0-9,20-29,0
25,M,68000,2,2,3,167,18,0,2,50-59,5-9,0-4,5-9,60-69,60-69,30-39,20-29,2
26,F,63000,2,3,3,73,3,0,2,20-29,20-24,0-4,5-9,90-100,60-69,30-39,20-29,0
27,M,40000,4,3,4,155,15,1,2,70-79,10-14,0-4,5-9,70-79,90-100,20-29,30-39,0
28,F,30000,0,1,2,29,2,1,1,20-29,10-14,0-4,0-4,50-59,0-9,90-100,50-59,0
29,M,33000,3,5,5,61,7,2,1,40-49,5-9,5-9,0-4,90-100,60-69,30-39,20-29,2
30,M,98000,4,4,5,234,29,3,2,60-69,5-9,5-9,5-9,80-89,80-89,40-49,30-39,2
31,F,37000,1,3,5,32,2,2,2,60-69,10-14,5-9,0-4,60-69,20-29,50-59,40-49,0
32,F,80000,3,5,6,249,27,3,1,50-59,5-9,5-9,0-4,80-89,50-59,30-39,40-49,2
33,M,51000,1,3,5,51,3,2,1,30-39,10-14,5-9,0-4,60-69,20-29,90-100,40-49,0
34,F,41000,3,2,4,62,3,2,2,40-49,15-19,0-4,5-9,50-59,70-79,40-49,50-59,0
35,F,48000,2,2,4,152,10,2,1,70-79,15-19,5-9,0-4,50-59,50-59,30-39,40-49,-1
36,F,38000,1,4,4,56,11,3,0,60-69,5-9,5-9,0-4,90-100,20-29,0-9,40-49,2
37,F,52000,3,1,3,87,12,0,2,50-59,5-9,0-4,5-9,30-39,90-100,20-29,40-49,-1
